            identifier             ,       coord                           ,  Mag V
HD 175535                          ,18 53 13.5509916072 +50 42 29.594035404,4.92
HD 174237                          ,18 46 43.0891606728 +52 59 16.654686648,5.9
* 48 Dra                           ,18 56 45.0357338352 +57 48 53.339590224,5.663
* 49 Dra                           ,19 00 43.4564400648 +55 39 29.883053808,5.513
* pi. Dra                          ,19 20 40.0933316 +65 42 52.309518      ,4.59
HD 187340                          ,19 44 18.4177974840 +69 20 13.425412920,5.899
* 73 Dra                           ,20 31 30.4066960752 +74 57 16.653861468,5.185
HD 203399                          ,21 15 42.4483614864 +77 00 44.268922728,5.898
HD 200039                          ,20 54 44.3512549872 +75 55 32.061148500,5.988
* 77 Dra                           ,21 05 29.2657046472 +78 07 35.009168736,5.907
* rho01 Cep                        ,22 26 42.4343328384 +78 47 09.143726100,5.84
* rho Cep                          ,22 29 52.9779651816 +78 49 27.432032592,5.46
HD 6798                            ,01 12 16.8163183464 +79 40 26.269579776,5.6
* 47 Cas                           ,02 05 07.4242273 +77 16 52.824198      ,5.268
HD 19275                           ,03 11 56.2691616816 +74 23 37.169888028,4.834
HD 23277                           ,03 49 13.7392842504 +70 52 15.780722844,5.391
* gam Cam                          ,03 50 21.5089163 +71 19 56.148492      ,4.604
HD 25274                           ,04 06 03.1828561968 +68 40 47.898996384,5.864
HD 27022                           ,04 20 40.3256358240 +65 08 25.589310792,5.27
HD 28780                           ,04 36 24.1980155472 +64 15 41.760866448,5.91
* 5 Cam                            ,04 55 03.1308043248 +55 15 32.857418952,5.52
* 7 Cam                            ,04 57 17.1960924 +53 45 07.565405      ,4.433
* alf Aur                          ,05 16 41.35871 +45 59 52.7693          ,0.08
HD 171779                          ,18 33 56.69453 +52 21 12.6567          ,5.38
HD 172883                          ,18 39 52.8163551912 +52 11 45.916177812,5.992
* c Dra                            ,18 42 37.9530997 +55 32 22.043388      ,5.026
* omi Dra                          ,18 51 12.0943444536 +59 23 18.060530136,4.636
HD 176598                          ,18 56 25.7183401176 +65 15 29.104305408,5.621
* del Dra                          ,19 12 33.3019645 +67 39 41.545581      ,3.07
* sig Dra                          ,19 32 21.5902098601 +69 39 40.235805206,4.68
* kap Cep                          ,20 08 53.3487448872 +77 42 41.115549672,4.4
HD 199437                          ,20 47 33.4549272120 +80 33 08.135888508,5.371
HD 205072                          ,21 24 49.5519174432 +80 31 29.368335108,5.965
HD 216446                          ,22 47 29.0691534336 +83 09 13.783501260,4.78
HD 4853                            ,00 54 53.1400621608 +83 42 26.675355348,5.59
HD 16458                           ,02 47 47.7257592048 +81 26 54.505744152,5.781
HD 18778                           ,03 11 42.6740794488 +81 28 14.559645900,5.907
HD 18438                           ,03 06 07.8405349800 +79 25 06.727027512,5.49
HD 19978                           ,03 20 19.7344100616 +77 44 05.147106108,5.444
HD 28204                           ,04 33 30.6800925600 +72 31 42.980317824,5.928
* alf Cam                          ,04 54 03.0103983 +66 20 33.636467      ,4.29
HD 30442                           ,04 52 05.2195394328 +63 30 19.517329836,5.467
* bet Cam                          ,05 03 25.0896309 +60 26 32.089527      ,4.02
* 11 Cam                           ,05 06 08.4527318736 +58 58 20.543222820,5.08
HD 32356                           ,05 06 29.7099857640 +61 10 11.099528580,5.994
* 16 Cam                           ,05 23 27.8426747304 +57 32 39.837146280,5.25
HD 169305                          ,18 21 32.6635447439 +49 07 17.733625096,5.05
* d Dra                            ,18 32 34.5225933264 +57 02 44.145773628,4.761
HD 172728                          ,18 37 33.5174187456 +62 31 35.673279564,5.74
* 42 Dra                           ,18 25 59.1369601368 +65 33 48.531343788,4.823
* ups Dra                          ,18 54 23.8518781344 +71 17 49.906555332,4.814
* tau Dra                          ,19 15 32.9853001560 +73 21 19.878315048,4.45
* 50 Dra                           ,18 46 22.2418766688 +75 26 02.240023848,5.358
HD 174980                          ,18 45 46.7674046544 +74 05 07.984339008,5.244
V* UX Dra                          ,19 21 35.5182299784 +76 33 34.557161688,5.94
* 59 Dra                           ,19 09 09.8814606288 +76 33 37.813819608,5.107
* 76 Dra                           ,20 42 35.2361216616 +82 31 52.165095600,5.75
* 75 Dra                           ,20 28 14.5838131800 +81 25 21.749766636,5.368
HD 217382                          ,22 54 24.9707515824 +84 20 46.231215936,4.684
HD 212710                          ,22 13 10.5128347032 +86 06 28.811644560,5.258
HD 217157                          ,22 51 03.0627080880 +85 22 25.445316792,5.891
* 2 UMi                            ,01 08 44.8800522 +86 15 25.523975      ,4.225
HD 20084                           ,03 32 20.1347090088 +84 54 39.764690712,5.609
HR 1230                            ,04 10 02.74737 +80 41 55.2485          ,5.136
HD 26836                           ,04 27 02.9352494784 +80 49 26.975993772,5.43
HD 29678                           ,04 48 50.3531666856 +75 56 28.391593380,5.952
V* BN Cam                          ,05 12 22.4545154808 +73 56 48.040416348,5.45
HD 33541                           ,05 18 13.2421269840 +73 16 05.150872740,5.83
HD 34255                           ,05 20 22.6106577168 +62 39 13.360854780,5.598
* 17 Cam                           ,05 30 10.2032478360 +63 04 01.989079104,5.407
HD 36678                           ,05 36 35.2182194688 +54 25 43.170953628,5.716
* omi Aur                          ,05 45 54.0419582136 +49 49 34.575758364,5.46
* 36 Dra                           ,18 13 53.8328065738 +64 23 50.225760192,4.987
* 37 Dra                           ,18 15 17.0855122152 +68 45 20.942085816,5.953
* phi Dra                          ,18 20 45.43224 +71 20 16.1499          ,4.22
* chi Dra                          ,18 21 03.38255 +72 43 58.2518          ,3.58
HD 172340                          ,18 29 44.9665442064 +77 32 49.450361532,5.644
* 40 Dra                           ,18 00 03.5284407912 +80 00 03.048202980,5.939
* 41 Dra                           ,18 00 09.1817075904 +80 00 14.807356056,5.642
HD 221525                          ,23 27 00.9306209496 +87 18 27.041264352,5.56
* alf UMi                          ,02 31 49.09456 +89 15 50.7923          ,2.02
HD 26659                           ,04 30 00.3551523144 +83 20 25.356431184,5.472
HD 26356                           ,04 28 13.2676445496 +83 48 28.034013312,5.507
HD 30338                           ,05 00 20.7224810688 +81 11 38.727575988,5.09
C 0516+732                         ,05 12 39.00 +73 58 29.0                ,4.2
HD 37289                           ,05 42 26.4485335344 +65 41 51.537368076,5.609
* 31 Cam                           ,05 54 57.8261678880 +59 53 18.127157424,5.2
* 26 Cam                           ,05 46 30.3898557096 +56 06 56.072459988,5.927
* ksi Aur                          ,05 54 50.7669372792 +55 42 25.080150456,4.96
* del Aur                          ,05 59 31.6184193950 +54 17 05.056666306,3.72
HD 40084                           ,05 59 21.7792765296 +49 55 28.339706424,5.907
* pi. Aur                          ,05 59 56.0979260520 +45 56 12.245697636,4.25
HD 164646                          ,17 59 56.2056043896 +45 30 04.959040968,5.67
* gam Dra                          ,17 56 36.36988 +51 29 20.0242          ,2.23
* ksi Dra                          ,17 53 31.7296234 +56 52 21.514262      ,3.75
* f Dra                            ,17 31 57.8711593056 +68 08 06.090797328,5.074
HD 161178                          ,17 37 08.8834634616 +72 27 20.858215464,5.869
* psi01 Dra A                      ,17 41 56.0623701456 +72 08 55.927617972,4.55
* psi01 Dra B                      ,17 41 58.1032377264 +72 09 24.845629104,5.53
* psi02 Dra                        ,17 55 11.1521210328 +72 00 18.453898548,5.43
* psi01 Dra                        ,17 41 57.0 +72 09 10                   ,4.58
HD 158996                          ,17 19 37.1114961984 +80 08 11.042214000,5.706
* eps UMi                          ,16 45 58.2436042536 +82 02 14.129823444,4.212
* del UMi                          ,17 32 12.9967087 +86 35 11.258377      ,4.336
* 24 UMi                           ,17 30 47.5894782768 +86 58 04.971244656,5.756
V* OV Cep                          ,07 40 30.4903485456 +87 01 12.378059472,5.07
HD 45866                           ,06 40 28.8770145504 +77 59 44.817887976,5.72
HD 42818                           ,06 18 50.7763037 +69 19 11.231041      ,4.757
* 36 Cam                           ,06 12 51.0625468800 +65 43 06.315969252,5.344
* 1 Lyn                            ,06 17 54.8190724 +61 30 55.025075      ,5.05
* 40 Cam                           ,06 15 40.5367282584 +59 59 56.272874532,5.351
* 37 Cam                           ,06 09 59.0135170848 +58 56 08.494481400,5.355
HD 40486                           ,06 01 43.0598629176 +48 57 34.004293956,5.959
* 36 Aur                           ,06 00 58.5621717168 +47 54 06.929545644,5.706
* iot Her                          ,17 39 27.8860861 +46 00 22.800110      ,3.8
* y Her                            ,17 36 37.6537001976 +48 35 08.277294480,5.353
HD 161193                          ,17 41 21.7973360928 +51 49 05.332414260,5.994
HD 161693                          ,17 43 59.1688824432 +53 48 06.146004348,5.76
HD 158460                          ,17 25 41.3535370032 +60 02 54.233277972,5.645
* 26 Dra A                         ,17 34 59.6247424155 +61 52 28.241837953,5.28
RX J1724.2+6957                    ,17 24 17.12 +69 56 47.5                ,4.89
HD 89571                           ,10 29 41.6296586538 +84 15 06.948854815,5.51
V* VZ Cam                          ,07 31 04.4677275984 +82 24 41.281519392,4.96
HD 64486                           ,08 04 47.0588749680 +79 28 46.609833972,5.387
HD 49878                           ,07 00 04.0371845062 +76 58 38.671049122,4.54
HD 46509                           ,06 40 32.2525521672 +71 44 55.629570336,5.86
HD 50885                           ,07 01 21.4189944984 +70 48 29.863508724,5.69
* 43 Cam                           ,06 53 42.2482692144 +68 53 17.919625020,5.096
* 42 Cam                           ,06 50 57.0890928144 +67 34 18.963203232,5.122
* 2 Lyn                            ,06 19 37.3845795 +59 00 39.468274      ,4.434
* 5 Lyn                            ,06 26 48.8723033424 +58 25 02.668882368,5.197
* 6 Lyn                            ,06 30 47.1075901469 +58 09 45.479816893,5.855
V* RR Lyn                          ,06 26 25.8366305040 +56 17 06.346261104,5.54
* 45 Aur                           ,06 21 46.1303030544 +53 27 07.838642844,5.333
* psi01 Aur                        ,06 24 53.9015502096 +49 17 16.411221960,4.75
* x Her                            ,17 26 44.2419822528 +48 15 36.221599656,5.83
* bet Dra                          ,17 30 25.9616959 +52 18 04.999351      ,2.81
HD 157681                          ,17 21 45.3683593608 +53 25 13.548351756,5.677
HD 156295                          ,17 12 32.5799450400 +62 52 27.605492292,5.54
* zet Dra                          ,17 08 47.1959624 +65 42 52.863384      ,3.17
HD 145622                          ,16 03 31.3491727488 +76 47 38.186624292,5.73
* 19 UMi                           ,16 10 49.5244396608 +75 52 39.222532704,5.473
* zet UMi                          ,15 44 03.5189152 +77 47 40.178845      ,4.274
* tet UMi                          ,15 31 24.9136103328 +77 20 57.695859924,4.982
HD 120565                          ,13 42 23.1834269472 +82 45 08.710304796,5.913
HD 112014                          ,12 49 06.6700877376 +83 25 04.221296940,5.85
HD 105943                          ,12 10 59.9795967552 +81 42 35.390138760,5.955
HD 112028                          ,12 49 13.7347330152 +83 24 46.432131660,5.35
HD 81817                           ,09 37 05.2877790 +81 19 34.971143      ,4.255
HD 90089                           ,10 31 04.7079248136 +82 33 31.146280416,5.252
HD 64307                           ,08 00 11.7384685272 +73 55 04.503664668,5.347
HD 68375                           ,08 19 32.2890586200 +75 45 24.866403012,5.541
* 14 Lyn                           ,06 53 05.0484585 +59 26 54.751889      ,5.38
* 11 Lyn                           ,06 37 38.3871354264 +56 51 27.109138716,5.89
* 13 Lyn                           ,06 46 49.5102734664 +57 10 09.032912364,5.335
* 47 Aur                           ,06 30 02.9737870536 +46 41 07.996903980,5.866
* 74 Her                           ,17 20 21.1210849968 +46 14 26.803184316,5.59
* mu. Dra A                        ,17 05 20.1239330976 +54 28 12.082867392,5.66
* mu. Dra B                        ,17 05 20.2106516880 +54 28 14.275098156,5.69
* mu. Dra                          ,17 05 20.12403 +54 28 12.0994          ,4.92
* g Dra                            ,16 40 55.1189266 +64 35 20.560563      ,4.842
HD 145454                          ,16 06 19.6767729888 +67 48 36.486764388,5.441
HD 148293                          ,16 21 48.7107861744 +69 06 33.814560060,5.264
